HenrikhMkhitaryan
Kristian Asllani
Lucien Agoumé
Matteo Darmian
Milan Skriniar
Raoul Bellanova
Robin Gosens
Samir Handanovic
Valentín Carboni
Aleksa Terzic
Alessandro Bianco
Arthur Cabral
Cristiano Biraghi
Gaetano Castrovilli
Igor Julio
Lorenzo Venuti
Lucas Martínez
Marco Benassi
Michele Cerofolini
Nikola Milenkovic
Pietro Terracciano
Riccardo Sottil
Sofyan Amrabat
Youssef Maleh
Aleksandr Kokorin
Alfred Duncan
Christian Kouamé
Dodô
G. Bonaventura
Jonathan Ikoné
Luca Ranieri
Luka Jovic
Matija Nastasic
Nicolás González
Pierluigi Gollini
Riccardo Saponara
Rolando Mandragora
Szymon Zurkowski
Alberto Grassi
Davide Merola
Emmanuel Ekong
Filippo Bandinelli
Gabriele Indragoli
Giovanni Crociata
Jacopo Fazzini
Leo Stulac
Liberato Cacace
Lovro Stubliar
Mattia Destro
Nicolas Haas
Petar Stojanovic
Sam Lammers
Sebastiano Luperto
Tyronne Ebuehi
Ardian Ismajli
Duccio Innocenti
Fabiano Parisi
Gabriele Guarino
Gian Marco Fantoni
Guglielmo Vicario
Koni De Winter
Liam Henderson
Lorenzo Tonelli
Martín Satriano
Nedim Bajrami
Nicolò Cambiaghi
Razvan Marin
Samuele Perisan
Tommaso Baldanzi
Charles Pickel
Cristian Buonaiuto
Daniel Ciofani
Dennis Politic
Emanuel Aiwu
Frank Tsadjout
Gianluca Saro
lonut Radu
Johan Vásquez
Leonardo Sernicola
Luca Strizzolo
Luca Zanimacchia
Maissa Ndiaye
Michele Castagnetti
Paolo Bartolomei
Samuel Di Carmine
Tommaso Milanese
Christian Acella
Cyriel Dessers
David Okereke
Dorian Ciezkowski
Emanuele Valeri
Giacomo Quagliata
Gonzalo Escalante
Jaime Báez
Joshua Tenkorang
Luca Ravanelli
Luca Valzania
Luka Lochoshvili
Matteo Bianchetti
Mouhamadou Sarr
Paolo Ghiglione
Santiago Ascacíbar
Vlad Chiriches
Adama Soumaoro
Andrea Cambiaso
Antonio Raimondo
Charalampos
Lykogiannis
Denso Kasius
Emanuel Vignato
Francesco Bardi
Gary Medel
Ibrahima Mbaye
Jerdy Schouten
Joaquín Sosa
Kacper Urbanski
Kevin Bonifazi
